Index,Time,Username,Bag,Location
0,03/28/2022 10:30:43,ProfessorValk,Bag,1372 - Chunk 20-31 (Alta.Chunks.Overworld
0,03/28/2022 10:30:43,ProfessorValk,Bag,1372 - Chunk 20-31 (Alta.Chunks.Overworld
0,03/28/2022 10:30:43,kaythekiller,HoarderBag,1174 - Chunk 17-33 Town Hall (Alta.Chunks.Overworld
0,03/28/2022 10:30:43,azxminty,Bag,4310 - Blacksmith Building Chunk 
0,03/28/2022 10:31:16,ProfessorValk,Bag,1373 - Chunk 20-32 Blacksmith (Alta.Chunks.Overworld
0,03/28/2022 10:31:16,ProfessorValk,Bag,1373 - Chunk 20-32 Blacksmith (Alta.Chunks.Overworld
0,03/28/2022 10:31:16,kaythekiller,HoarderBag,1108 - Chunk 16-33 (Alta.Chunks.Overworld
0,03/28/2022 10:31:16,azxminty,Bag,4310 - Blacksmith Building Chunk 
0,03/28/2022 10:31:49,ProfessorValk,Bag,4310 - Blacksmith Building Chunk 
0,03/28/2022 10:31:49,ProfessorValk,Bag,1373 - Chunk 20-32 Blacksmith (Alta.Chunks.Overworld
0,03/28/2022 10:31:49,kaythekiller,HoarderBag,973 - Chunk 14-32 (Alta.Chunks.Overworld
0,03/28/2022 10:31:49,azxminty,Bag,4306 - Carpentry Building Chunk 
0,03/28/2022 10:32:22,ProfessorValk,Bag,4306 - Carpentry Building Chunk 
0,03/28/2022 10:32:22,ProfessorValk,Bag,4306 - Carpentry Building Chunk 
0,03/28/2022 10:32:22,kaythekiller,HoarderBag,908 - Chunk 13-33 (Alta.Chunks.Overworld
0,03/28/2022 10:32:22,azxminty,Bag,4306 - Carpentry Building Chunk 
0,03/28/2022 10:32:56,ProfessorValk,Bag,1374 - Chunk 20-33 Carpentry (Alta.Chunks.Overworld
0,03/28/2022 10:32:56,ProfessorValk,Bag,1374 - Chunk 20-33 Carpentry (Alta.Chunks.Overworld
0,03/28/2022 10:32:56,kaythekiller,HoarderBag,840 - Chunk 12-33 (Alta.Chunks.Overworld
0,03/28/2022 10:32:56,azxminty,Bag,4306 - Carpentry Building Chunk 
0,03/28/2022 10:33:29,ProfessorValk,Bag,1374 - Chunk 20-33 Carpentry (Alta.Chunks.Overworld
0,03/28/2022 10:33:29,ProfessorValk,Bag,1373 - Chunk 20-32 Blacksmith (Alta.Chunks.Overworld
0,03/28/2022 10:33:29,kaythekiller,HoarderBag,709 - Chunk 10-34 (Alta.Chunks.Overworld
0,03/28/2022 10:33:29,azxminty,Bag,4306 - Carpentry Building Chunk 
