Index,Time,Username,Item,Location
0,03/29/2022 11:25:58,mark1234,HoarderBag,4310 - Blacksmith Building Chunk 
1,03/29/2022 11:25:58,mark1234,RodMedium,4310 - Blacksmith Building Chunk 
2,03/29/2022 11:25:58,mark1234,AxeHeadFelling,4310 - Blacksmith Building Chunk 
3,03/29/2022 11:25:58,mark1234,GrassClump,4310 - Blacksmith Building Chunk 
4,03/29/2022 11:25:58,mark1234,HandleMediumStraight,4310 - Blacksmith Building Chunk 
5,03/29/2022 11:25:58,mark1234,SpadeHead,4310 - Blacksmith Building Chunk 
6,03/29/2022 11:25:58,mark1234,RodLong,4310 - Blacksmith Building Chunk 
7,03/29/2022 11:25:58,mark1234,PickaxeHead,4310 - Blacksmith Building Chunk 
8,03/29/2022 11:25:58,mark1234,Lantern,4310 - Blacksmith Building Chunk 
9,03/29/2022 11:25:58,mark1234,Coal,4310 - Blacksmith Building Chunk 
10,03/29/2022 11:25:58,mark1234,GoldCoin,4310 - Blacksmith Building Chunk 
11,03/29/2022 11:25:58,mark1234,Dynamite,4310 - Blacksmith Building Chunk 
12,03/29/2022 11:25:58,mark1234,SoftFabricMediumStrips,4310 - Blacksmith Building Chunk 
13,03/29/2022 11:25:58,mark1234,SoftFabricMediumRoll,4310 - Blacksmith Building Chunk 
14,03/29/2022 11:25:58,mark1234,Kunai,4310 - Blacksmith Building Chunk 
15,03/29/2022 11:25:58,mark1234,StandardSidePouchAttachment,4310 - Blacksmith Building Chunk 
16,03/29/2022 11:25:58,mark1234,StandardSidePouchAttachment,4310 - Blacksmith Building Chunk 
17,03/29/2022 11:25:58,mark1234,PotionHoopsSideToolAttachment,4310 - Blacksmith Building Chunk 
18,03/29/2022 11:25:58,mark1234,StandardSidePouchAttachment,4310 - Blacksmith Building Chunk 
19,03/29/2022 11:25:58,mark1234,SoftFabricMediumRoll,4310 - Blacksmith Building Chunk 
20,03/29/2022 11:25:58,mark1234,SpriggullDrumstickHalfCooked,4310 - Blacksmith Building Chunk 
21,03/29/2022 11:25:58,mark1234,RodSlimcm,4310 - Blacksmith Building Chunk 
22,03/29/2022 11:25:58,mark1234,HammerHeadSmall,4310 - Blacksmith Building Chunk 
23,03/29/2022 11:25:58,mark1234,HardMetalSmallBits,4310 - Blacksmith Building Chunk 
24,03/29/2022 11:25:58,mark1234,HebiosHandleKunai,4310 - Blacksmith Building Chunk 
25,03/29/2022 11:25:58,mark1234,DaggerBladeWide,4310 - Blacksmith Building Chunk 
26,03/29/2022 11:25:58,mark1234,Flint,4310 - Blacksmith Building Chunk 
0,03/29/2022 11:25:58,mark1234,HoarderBag,4310 - Blacksmith Building Chunk 
1,03/29/2022 11:25:58,mark1234,RodMedium,4310 - Blacksmith Building Chunk 
2,03/29/2022 11:25:58,mark1234,AxeHeadFelling,4310 - Blacksmith Building Chunk 
3,03/29/2022 11:25:58,mark1234,GrassClump,4310 - Blacksmith Building Chunk 
4,03/29/2022 11:25:58,mark1234,HandleMediumStraight,4310 - Blacksmith Building Chunk 
5,03/29/2022 11:25:58,mark1234,SpadeHead,4310 - Blacksmith Building Chunk 
6,03/29/2022 11:25:58,mark1234,RodLong,4310 - Blacksmith Building Chunk 
7,03/29/2022 11:25:58,mark1234,PickaxeHead,4310 - Blacksmith Building Chunk 
8,03/29/2022 11:25:58,mark1234,Lantern,4310 - Blacksmith Building Chunk 
9,03/29/2022 11:25:58,mark1234,Coal,4310 - Blacksmith Building Chunk 
10,03/29/2022 11:25:58,mark1234,GoldCoin,4310 - Blacksmith Building Chunk 
11,03/29/2022 11:25:58,mark1234,Dynamite,4310 - Blacksmith Building Chunk 
12,03/29/2022 11:25:58,mark1234,SoftFabricMediumStrips,4310 - Blacksmith Building Chunk 
13,03/29/2022 11:25:58,mark1234,SoftFabricMediumRoll,4310 - Blacksmith Building Chunk 
14,03/29/2022 11:25:58,mark1234,Kunai,4310 - Blacksmith Building Chunk 
15,03/29/2022 11:25:58,mark1234,StandardSidePouchAttachment,4310 - Blacksmith Building Chunk 
16,03/29/2022 11:25:58,mark1234,StandardSidePouchAttachment,4310 - Blacksmith Building Chunk 
17,03/29/2022 11:25:58,mark1234,PotionHoopsSideToolAttachment,4310 - Blacksmith Building Chunk 
18,03/29/2022 11:25:58,mark1234,StandardSidePouchAttachment,4310 - Blacksmith Building Chunk 
19,03/29/2022 11:25:58,mark1234,SoftFabricMediumRoll,4310 - Blacksmith Building Chunk 
20,03/29/2022 11:25:58,mark1234,SpriggullDrumstickHalfCooked,4310 - Blacksmith Building Chunk 
21,03/29/2022 11:25:58,mark1234,RodSlimcm,4310 - Blacksmith Building Chunk 
22,03/29/2022 11:25:58,mark1234,HammerHeadSmall,4310 - Blacksmith Building Chunk 
23,03/29/2022 11:25:58,mark1234,HardMetalSmallBits,4310 - Blacksmith Building Chunk 
24,03/29/2022 11:25:58,mark1234,HebiosHandleKunai,4310 - Blacksmith Building Chunk 
25,03/29/2022 11:25:58,mark1234,DaggerBladeWide,4310 - Blacksmith Building Chunk 
26,03/29/2022 11:25:58,mark1234,Flint,4310 - Blacksmith Building Chunk 
0,03/29/2022 11:25:58,AssassinKing862,AxeHeadLShape,4310 - Blacksmith Building Chunk 
1,03/29/2022 11:25:58,AssassinKing862,HandleMediumStraight,4310 - Blacksmith Building Chunk 
